DE;EN;FR;SPECIES_CODE
Gluckente;Baikal Teal;Sarcelle élégante;baitea
Knäkente;Garganey;Sarcelle d'été;gargan
Pünktchenente;Blue-billed Teal;Sarcelle à bec bleu;hottea1
Silberente;Silver Teal;Sarcelle bariolée;siltea1
Punaente;Puna Teal;Sarcelle de la puna;puntea1
Blauflügelente;Blue-winged Teal;Sarcelle à ailes bleues;buwtea
Gluck- x Blauflügelente (Hybrid);Baikal x Blue-winged Teal (hybrid);Hybride Sarcelle élégante x S. à ailes bleues;x01179
Zimtente;Cinnamon Teal;Sarcelle cannelle;cintea
Zimtente (septentrionalium);Cinnamon Teal (Northern);Sarcelle cannelle (septentrionalium);cintea1
Zimtente [orinoma-Gruppe];Cinnamon Teal (Andean);Sarcelle cannelle (groupe orinoma);cintea6
Zimtente (cyanoptera);Cinnamon Teal (Southern);Sarcelle cannelle (cyanoptera);cintea5
Blauflügel- x Zimtente (Hybrid);Blue-winged x Cinnamon Teal (hybrid);Hybride Sarcelle à ailes bleues x S. cannelle;bwxtea1
Blauflügel-/Zimtente;Blue-winged/Cinnamon Teal;Sarcelle à ailes bleues ou S. cannelle;y00314
Fuchslöffelente;Red Shoveler;Canard spatule;redsho1
Kaplöffelente;Cape Shoveler;Canard de Smith;capsho1
Halbmond-Löffelente;Australasian Shoveler;Canard bridé;aussho1
Löffelente;Northern Shoveler;Canard souchet;norsho
Knäk- x Löffelente (Hybrid);Garganey x Northern Shoveler (hybrid);Hybride Sarcelle d'été x Canard souchet;x00836
Blauflügel- x Löffelente (Hybrid);Blue-winged Teal x Northern Shoveler (hybrid);Hybride Sarcelle à ailes bleues x Canard souchet;x00629
Zimt- x Löffelente (Hybrid);Cinnamon Teal x Northern Shoveler (hybrid);Hybride Sarcelle cannelle x Canard souchet;x00630
Schnatterente;Gadwall;Canard chipeau;gadwal
Schnatterente (strepera);Gadwall (Common);Canard chipeau (strepera);gadwal1
Schnatterente (couesi);Gadwall (Coues's);Canard chipeau (couesi);gadwal2
Löffel- x Schnatterente (Hybrid);Northern Shoveler x Gadwall (hybrid);Hybride Canard souchet x C. chipeau;x00457
Sichelente;Falcated Duck;Canard à faucilles;falduc
Gluck- x Sichelente (Hybrid);Baikal Teal x Falcated Duck (hybrid);Hybride Sarcelle élégante x Canard à faucilles;x00368
Schnatter- x Sichelente (Hybrid);Gadwall x Falcated Duck (hybrid);Hybride Canard chipeau x C. à faucilles;x00369
Pfeifente;Eurasian Wigeon;Canard siffleur;eurwig
Gluck- x Pfeifente (Hybrid);Baikal Teal x Eurasian Wigeon (hybrid);Hybride Sarcelle élégante x Canard siffleur;x01219
Löffel- x Pfeifente (Hybrid);Northern Shoveler x Eurasian Wigeon (hybrid);Hybride Canard souchet x C. siffleur;x01140
Schnatter- x Pfeifente (Hybrid);Gadwall x Eurasian Wigeon (hybrid);Hybride Canard chipeau x C. siffleur;x00723
Sichel- x Pfeifente (Hybrid);Falcated Duck x Eurasian Wigeon (hybrid);Hybride Canard à faucilles x C. siffleur;x01220
Kanadapfeifente;American Wigeon;Canard d'Amérique;amewig
Braut- x Kanadapfeifente (Hybrid);Wood Duck x American Wigeon (hybrid);Hybride Canard branchu x C. d'Amérique;x00877
Blauflügel- x Kanadapfeifente (Hybrid);Blue-winged Teal x American Wigeon (hybrid);Hybride Sarcelle à ailes bleues x Canard d'Amérique;x00370
Löffel- x Kanadapfeifente (Hybrid);Northern Shoveler x American Wigeon (hybrid);Hybride Canard souchet x C. d'Amérique;x00777
Schnatter- x Kanadapfeifente (Hybrid);Gadwall x American Wigeon (hybrid);Hybride Canard chipeau x C. d'Amérique;x00724
Pfeif- x Kanadapfeifente (Hybrid);Eurasian x American Wigeon (hybrid);Hybride Canard siffleur x C. d'Amérique;x00421
Pfeif-/Kanadapfeifente;Eurasian/American Wigeon;Canard siffleur ou C. d'Amérique;y00670
Chilepfeifente;Chiloe Wigeon;Canard de Chiloé;chiwig1
Pfeif- x Chilepfeifente (Hybrid);Eurasian x Chiloe Wigeon (hybrid);Hybride Canard siffleur x C. de Chiloé;x00998
Amsterdamente;Amsterdam Duck;Canard d'Amsterdam;amsduc1
Schwarzente;African Black Duck;Canard noirâtre;afbduc1
Gelbschnabelente;Yellow-billed Duck;Canard à bec jaune;yebduc1
Madagaskarente;Meller's Duck;Canard de Meller;melduc1
Augenbrauenente;Pacific Black Duck;Canard à sourcils;pabduc1
Laysanente;Laysan Duck;Canard de Laysan;layduc
Hawaiiente;Hawaiian Duck;Canard des Hawaï;hawduc
Philippinenente;Philippine Duck;Canard des Philippines;phiduc1
Indien-Fleckschnabelente;Indian Spot-billed Duck;Canard à bec tacheté;isbduc1
China-Fleckschnabelente;Eastern Spot-billed Duck;Canard de Chine;spbduc
Indien-/China-Fleckschnabelente;Indian/Eastern Spot-billed Duck;Canard à bec tacheté ou C. de Chine;y00830
Stockente;Mallard;Canard colvert;mallar3
Fehlfarben-Stockente/Hausente;Mallard (Domestic type);Canard colvert (forme domestique);mallar2
Nilgans x Stockente (Hybrid);Egyptian Goose x Mallard (hybrid);Hybride Ouette d'Égypte x Canard colvert;x01147
Rostgans x Stockente (Hybrid);Ruddy Shelduck x Mallard (hybrid);Hybride Tadorne casarca X Canard colvert;x01148
Moschus- x Stockente (Hybrid);Muscovy Duck x Mallard (hybrid);Hybride Canard musqué x C. colvert;mdxmal1
Braut- x Stockente (Hybrid);Wood Duck x Mallard (hybrid);Hybride Canard branchu x C. colvert;x00205
Löffel- x Stockente (Hybrid);Northern Shoveler x Mallard (hybrid);Hybride Canard souchet x C. colvert;x00612
Schnatter- x Stockente (Hybrid);Gadwall x Mallard (hybrid);Hybride Canard chipeau x C. colvert;x00420
Sichel- x Stockente (Hybrid);Falcated Duck x Mallard (hybrid);Hybride Canard à faucilles x C. colvert;x01221
Pfeif- x Stockente (Hybrid);Eurasian Wigeon x Mallard (hybrid);Hybride Canard siffleur x C. colvert;x00647
Kanadapfeif- x Stockente (Hybrid);American Wigeon x Mallard (hybrid);Hybride Canard d'Amérique x C. colvert;x00611
Schwarz- x Stockente (Hybrid);African Black Duck x Mallard (hybrid);Hybride Canard noirâtre x C. colvert;x01149
Gelbschnabel- x Stockente (Hybrid);Yellow-billed Duck x Mallard (hybrid);Hybride Canard à bec jaune x C. colvert;x00760
Stock- x Augenbrauenente (Hybrid);Pacific Black Duck x Mallard (hybrid);Hybride Canard à sourcils x C. colvert;x00458
Stock- x Hawaiiente (Hybrid);Hawaiian Duck x Mallard (hybrid);Hybride Canard des Hawaï x C. colvert;x00423
Stock- x Indien-Fleckschnabelente (Hybrid);Indian Spot-billed Duck x Mallard (hybrid);Hybride Canard à bec tacheté x C. colvert;x00834
Stock- x China-Fleckschnabelente (Hybrid);Eastern Spot-billed Duck x Mallard (hybrid);Hybride Canard de Chine x C. colvert;x00835
Stock-/Augenbrauenente;Pacific Black Duck/Mallard;Canard à sourcils ou C. colvert;y01128
Stock-/Hawaiiente;Hawaiian Duck/Mallard;Canard des Hawaï ou C. colvert;y01129
Stock-/Indien-Fleckschnabelente;Indian Spot-billed Duck/Mallard;Canard à bec tacheté ou C. colvert;y01130
Stock-/China-Fleckschnabelente;Eastern Spot-billed Duck/Mallard;Canard de Chine ou C. colvert;y01131
Mexikoente;Mexican Duck;Canard du Mexique;mexduc
Stock- x Mexikoente (Hybrid);Mallard x Mexican Duck (hybrid);Hybride Canard colvert x C. du Mexique;mallar4
Stock-/Mexikoente;Mallard/Mexican Duck;Canard colvert ou C. du Mexique;mallar
Dunkelente;American Black Duck;Canard noir;ambduc
Kanadapfeif- x Dunkelente (Hybrid);American Wigeon x American Black Duck (hybrid);Hybride Canard d'Amérique x C. noir;x00941
Stock- x Dunkelente (Hybrid);Mallard x American Black Duck (hybrid);Hybride Canard colvert x C. noir;x00004
Stock-/Dunkelente;Mallard/American Black Duck;Canard colvert ou C. noir;y00600
Floridaente;Mottled Duck;Canard brun;motduc
Floridaente (fulvigula);Mottled Duck (Florida);Canard brun (fulvigula);motduc1
Floridaente (maculosa);Mottled Duck (Gulf Coast);Canard brun (maculosa);motduc2
Stock- x Floridaente (Hybrid);Mallard x Mottled Duck (hybrid);Hybride Canard colvert x C. brun;x00422
Stock- x Mexiko-/Floridaente (Hybrid);Mallard x Mexican/Mottled Duck (hybrid);Hybride Canard colvert x C. du Mexique ou C. brun;y01098
Mexiko- x Floridaente (Hybrid);Mexican x Mottled Duck (hybrid);Hybride Canard du Mexique x C. brun;x00922
Stock-/Floridaente;Mallard/Mottled Duck;Canard colvert ou C. brun;y00632
Mexiko-/Floridaente;Mexican/Mottled Duck;Canard du Mexique ou C. brun;y01099
Dunkel-/Floridaente;American Black/Mottled Duck;Canard noir ou C. brun;y00633
Fahlente;Cape Teal;Canard du Cap;captea1
Bahamaente;White-cheeked Pintail;Canard des Bahamas;whcpin
Bahamaente (bahamensis/rubrirostris);White-cheeked Pintail (White-cheeked);Canard des Bahamas (bahamensis/rubrirostris);whcpin1
Bahamaente (galapagensis);White-cheeked Pintail (Galapagos);Canard des Bahamas (galapagensis);whcpin2
Stock- x Bahamaente (Hybrid);Mallard x White-cheeked Pintail (hybrid);Hybride Canard colvert x C. des Bahamas;x00778
Rotschnabelente;Red-billed Duck;Canard à bec rouge;rebduc1
Gelbschnabel- x Rotschnabelente (Hybrid);Yellow-billed x Red-billed Duck (hybrid);Hybride Canard à bec jaune x C. à bec rouge;x01222
Fahl- x Rotschnabelente (Hybrid);Cape Teal x Red-billed Duck (hybrid);Hybride Canard du Cap x C. à bec rouge;x01223
Spießente;Northern Pintail;Canard pilet;norpin
Gluck- x Spießente (Hybrid);Baikal Teal x Northern Pintail (hybrid);Hybride Sarcelle élégante x Canard pilet;x00837
Löffel- x Spießente (Hybrid);Northern Shoveler x Northern Pintail (hybrid);Hybride Canard souchet x C. pilet;x01180
Schnatter- x Spießente (Hybrid);Gadwall x Northern Pintail (hybrid);Hybride Canard chipeau x C. pilet;x00610
Pfeif- x Spießente (Hybrid);Eurasian Wigeon x Northern Pintail (hybrid);Hybride Canard siffleur x C. pilet;x00761
Kanadapfeif- x Spießente (Hybrid);American Wigeon x Northern Pintail (hybrid);Hybride Canard d'Amérique x C. pilet;x00196
Augenbrauen- x Spießente (Hybrid);Pacific Black Duck x Northern Pintail (hybrid);Hybride Canard à sourcils x C. pilet;x01087
Stock- x Spießente (Hybrid);Mallard x Northern Pintail (hybrid);Hybride Canard colvert x C. pilet;x00628
Dunkel- x Spießente (Hybrid);American Black Duck x Northern Pintail (hybrid);Hybride Canard noir x C. pilet;x00674
Kerguelenente;Eaton's Pintail;Canard d'Eaton;eatpin1
Spitzschwanzente;Yellow-billed Pintail;Canard à queue pointue;yebpin1
Spitzschwanzente (georgica);Yellow-billed Pintail (South Georgia);Canard à queue pointue (georgica);yebpin2
Spitzschwanzente (spinicauda/niceforoi);Yellow-billed Pintail (South American);Canard à queue pointue (spinicauda/niceforoi);yebpin3
Bahama- x Spitzschwanzente (Hybrid);White-cheeked x Yellow-billed Pintail (hybrid);Hybride Canard des Bahamas x C. à queue pointue;x01150
Krickente;Green-winged Teal;Sarcelle d'hiver;gnwtea
Krickente (crecca);Green-winged Teal (Eurasian);Sarcelle d'hiver (crecca);egwtea1
Krickente (Carolinakrickente);Green-winged Teal (American);Sarcelle d'hiver (carolinensis);agwtea1
Krickente (crecca x carolinensis);Green-winged Teal (Eurasian x American);Sarcelle d'hiver (crecca x carolinensis);gnwtea1
Gluck- x Krickente (Hybrid);Baikal x Green-winged Teal (hybrid);Hybride Sarcelle élégante x S. d'hiver;x00999
Knäk- x Krickente (Hybrid);Garganey x Green-winged Teal (hybrid);Hybride Sarcelle d'été x S. d'hiver;x00371
Blauflügel- x Krickente (Hybrid);Blue-winged x Green-winged Teal (hybrid);Hybride Sarcelle à ailes bleues x S. d'hiver;x00673
Zimt- x Krickente (Hybrid);Cinnamon x Green-winged Teal (hybrid);Hybride Sarcelle cannelle x S. d'hiver;x00763
Schnatter- x Krickente (Hybrid);Gadwall x Green-winged Teal (hybrid);Hybride Canard chipeau x Sarcelle d'hiver;x00762
Pfeif- x Krickente (Hybrid);Eurasian Wigeon x Green-winged Teal (hybrid);Hybride Canard siffleur x Sarcelle d'hiver;x00372
Kanadapfeif- x Krickente (Hybrid);American Wigeon x Green-winged Teal (hybrid);Hybride Canard d'Amérique x Sarcelle d'hiver;x00646
Stock- x Krickente (Hybrid);Mallard x Green-winged Teal (hybrid);Hybride Canard colvert x Sarcelle d'hiver;x00670
Spieß- x Krickente (Hybrid);Northern Pintail x Green-winged Teal (hybrid);Hybride Canard pilet x Sarcelle d'hiver;x00725
Knäk-/Krickente;Garganey/Green-winged Teal;Sarcelle d'été ou S. d'hiver;y00766
Andenente;Andean Teal;Sarcelle des Andes;spetea3
Andenente (altipetens);Andean Teal (Merida);Sarcelle des Andes (altipetens);andtea2
Andenente (andium);Andean Teal (Andean);Sarcelle des Andes (andium);andtea3
Braunkopfente;Yellow-billed Teal;Sarcelle tachetée;yebtea1
Braunkopfente (flavirostris);Yellow-billed Teal (flavirostris);Sarcelle tachetée (flavirostris);spetea2
Braunkopfente (oxyptera);Yellow-billed Teal (oxyptera);Sarcelle tachetée (oxyptera);spetea4
Spitzschwanz-/Braunkopfente;Yellow-billed Pintail/Yellow-billed Teal;Canard à queue pointue ou Sarcelle tachetée;y00367
Anden-/Braunkopfente;Andean/Yellow-billed Teal;Sarcelle des Andes ou S. tachetée;spetea1
Mauritiusente;Mauritius Duck;Sarcelle de Maurice;mauduc1
Weißkehlente;Andaman Teal;Sarcelle des Andaman;andtea1
Sundaente;Sunda Teal;Sarcelle grise;suntea1
Australente;Gray Teal;Sarcelle australasienne;gretea1
Augenbrauen- x Australente (Hybrid);Pacific Black Duck x Gray Teal (hybrid);Hybride Canard à sourcils x Sarcelle australasienne;x00926
Sunda-/Australente;Sunda/Gray Teal;Sarcelle grise ou S. australasienne;y01373
Kastanienente;Chestnut Teal;Sarcelle rousse;chetea1
Augenbrauen- x Kastanienente (Hybrid);Pacific Black Duck x Chestnut Teal (hybrid);Hybride Canard à sourcils x Sarcelle rousse;x00925
Austral- x Kastanienente (Hybrid);Gray x Chestnut Teal (hybrid);Hybride Sarcelle australasienne x S. rousse;x00913
Austral-/Kastanienente;Gray/Chestnut Teal;Sarcelle australasienne ou S. rousse;y00368
Bernierente;Bernier's Teal;Sarcelle de Bernier;bertea1
Aucklandente;Auckland Islands Teal;Sarcelle des Auckland;auitea1
Campbellente;Campbell Islands Teal;Sarcelle de Campbell;caitea1
Neuseelandente;Brown Teal;Sarcelle de Nouvelle-Zélande;brotea1
Stock- x Neuseelandente (Hybrid);Mallard x Brown Teal (hybrid);Hybride Canard colvert x Sarcelle de Nouvelle-Zélande;x00878
Anas, unbestimmt;Anas sp.;Anas sp.;anas1
Anatidae (teal sp.), unbestimmt;teal sp.;sarcelle sp.;teal
Schwimmente, unbestimmt;dabbling duck sp.;anatidé sp. (canard barboteur sp.);dabduc1
Rosenohrente;Pink-eared Duck;Malacorhynque à oreilles roses;pieduc1
Marmelente;Marbled Duck;Marmaronette marbrée;martea1
Rosenkopfente;Pink-headed Duck;Nette à cou rose;pihduc1
Weißflügelente;White-winged Duck;Nette à ailes blanches;whwduc1
Kolbenente;Red-crested Pochard;Nette rousse;recpoc
Stock- x Kolbenente (Hybrid);Mallard x Red-crested Pochard (hybrid);Hybride Canard colvert x Nette rousse;x00648
Rotaugenente;Southern Pochard;Nette brune;soupoc1
Rosenschnabelente;Rosy-billed Pochard;Nette demi-deuil;robpoc1
Riesentafelente;Canvasback;Fuligule à dos blanc;canvas
Rotkopfente;Redhead;Fuligule à tête rouge;redhea
Stock- x Rotkopfente (Hybrid);Mallard x Redhead (hybrid);Hybride Canard colvert x Fuligule à tête rouge;x00879
Riesentafel- x Rotkopfente (Hybrid);Canvasback x Redhead (hybrid);Hybride Fuligule à dos blanc x F. à tête rouge;x00684
Tafelente;Common Pochard;Fuligule milouin;compoc
Stock- x Tafelente (Hybrid);Mallard x Common Pochard (hybrid);Hybride Canard colvert x Fuligule milouin;x01000
Kolben- x Tafelente (Hybrid);Red-crested x Common Pochard (hybrid);Hybride Nette rousse x Fuligule milouin;x00373
Ringschnabelente;Ring-necked Duck;Fuligule à collier;rinduc
Stock- x Ringschnabelente (Hybrid);Mallard x Ring-necked Duck (hybrid);Hybride Canard colvert x Fuligule à collier;x01001
Riesentafel- x Ringschnabelente (Hybrid);Canvasback x Ring-necked Duck (hybrid);Hybride Fuligule à dos blanc x F. à collier;x00880
Rotkopf- x Ringschnabelente (Hybrid);Redhead x Ring-necked Duck (hybrid);Hybride Fuligule à tête rouge x F. à collier;x00679
Moorente;Ferruginous Duck;Fuligule nyroca;ferduc
Kolben- x Moorente (Hybrid);Red-crested Pochard x Ferruginous Duck (hybrid);Hybride Nette rousse x Fuligule nyroca;x00374
Tafel- x Moorente (Hybrid);Common Pochard x Ferruginous Duck (hybrid);Hybride Fuligule milouin x F. nyroca;x00764
Madagaskarmoorente;Madagascar Pochard;Fuligule de Madagascar;madpoc1
Baermoorente;Baer's Pochard;Fuligule de Baer;baepoc1
Tafel- x Baermoorente (Hybrid);Common x Baer's Pochard (hybrid);Hybride Fuligule milouin x F. de Baer;x01093
Moor- x Baermoorente (Hybrid);Ferruginous Duck x Baer's Pochard (hybrid);Hybride Fuligule nyroca x F. de Baer;x00838
Moor-/Baermoorente;Ferruginous Duck/Baer's Pochard;Fuligule nyroca ou F. de Baer;y00709
Tasmanmoorente;Hardhead;Fuligule austral;wheduc1
Austral- x Tasmanmoorente (Hybrid);Gray Teal x Hardhead (hybrid);Hybride Sarcelle australasienne x Fuligule austral;x00912
Reiherente;Tufted Duck;Fuligule morillon;tufduc
Stock- x Reiherente (Hybrid);Mallard x Tufted Duck (hybrid);Hybride Canard colvert x Fuligule morillon;x00375
Kolben- x Reiherente (Hybrid);Red-crested Pochard x Tufted Duck (hybrid);Hybride Nette rousse x Fuligule morillon;x00376
Tafel- x Reiherente (Hybrid);Common Pochard x Tufted Duck (hybrid);Hybride Fuligule milouin x F. morillon;x00683
Ringschnabel- x Reiherente (Hybrid);Ring-necked x Tufted Duck (hybrid);Hybride Fuligule à collier x F. morillon;x00652
Moor- x Reiherente (Hybrid);Ferruginous x Tufted Duck (hybrid);Hybride Fuligule nyroca x F. morillon;x00839
Maoriente;New Zealand Scaup;Fuligule de Nouvelle-Zélande;nezsca1
Bergente;Greater Scaup;Fuligule milouinan;gresca
Rotkopf- x Bergente (Hybrid);Redhead x Greater Scaup (hybrid);Hybride Fuligule à tête rouge x F. milouinan;x00680
Ringschnabel- x Bergente (Hybrid);Ring-necked Duck x Greater Scaup (hybrid);Hybride Fuligule à collier x F. milouinan;x00779
Reiher- x Bergente (Hybrid);Tufted Duck x Greater Scaup (hybrid);Hybride Fuligule morillon x F. milouinan;x00654
Kanadabergente;Lesser Scaup;Petit Fuligule;lessca
Rotkopf- x Kanadabergente (Hybrid);Redhead x Lesser Scaup (hybrid);Hybride Fuligule à tête rouge x Petit Fuligule;x00678
Ringschnabel- x Kanadabergente (Hybrid);Ring-necked Duck x Lesser Scaup (hybrid);Hybride Fuligule à collier x Petit Fuligule;x00613
Reiher- x Kanadabergente (Hybrid);Tufted Duck x Lesser Scaup (hybrid);Hybride Fuligule morillon x Petit Fuligule;x00653
Riesentafel- x Berg-/Kanadabergente (Hybrid);Canvasback x scaup sp. (hybrid);Hybride Fuligule à dos blanc x F. milouinan ou Petit Fuligule;x00377
Rotkopf- x Berg-/Kanadabergente (Hybrid);Redhead x scaup sp. (hybrid);Hybride Fuligule à tête rouge x F. milouinan ou Petit Fuligule;x00681
Ringschnabel- x Berg-/Kanadabergente (Hybrid);Ring-necked Duck x scaup sp. (hybrid);Hybride Fuligule à collier x F. milouinan ou Petit Fuligule;x00682
Reiher- x Berg-/Kanadabergente (Hybrid);Tufted Duck x scaup sp. (hybrid);Hybride Fuligule morillon x F. milouinan ou Petit Fuligule;tdxsca1
Berg-/Kanadabergente;Greater/Lesser Scaup;Fuligule milouinan ou Petit Fuligule;scaup
Aythya, unbestimmt;Aythya sp.;fuligule sp.;aythya1
Scheckente;Steller's Eider;Eider de Steller;steeid
Labradorente;Labrador Duck;Eider du Labrador;labduc
Plüschkopfente;Spectacled Eider;Eider à lunettes;speeid
Prachteiderente;King Eider;Eider à tête grise;kineid
Plüschkopf- x Prachteiderente (Hybrid);Spectacled x King Eider (hybrid);Hybride Eider à lunettes x E. à tête grise;x00942
Eiderente;Common Eider;Eider à duvet;comeid
Eiderente (mollissima);Common Eider (Eurasian);Eider à duvet (mollissima);comeid5
Eiderente (faeroeensis);Common Eider (Faroe Is.);Eider à duvet (faeroeensis);comeid6
Eiderente (v-nigrum);Common Eider (Pacific);Eider à duvet (v-nigrum);comeid1
Eiderente (dresseri);Common Eider (Dresser's);Eider à duvet (dresseri);comeid2
Eiderente (borealis);Common Eider (Northern);Eider à duvet (borealis);comeid3
Eiderente (sedentaria);Common Eider (Hudson Bay);Eider à duvet (sedentaria);comeid4
Brandgans x Eiderente (Hybrid);Common Shelduck x Common Eider (hybrid);Hybride Tadorne de Belon x Eider à duvet;x01151
Stock- x Eiderente (Hybrid);Mallard x Common Eider (hybrid);Hybride Canard colvert x Eider à duvet;x00881
Prachteider- x Eiderente (Hybrid);King x Common Eider (hybrid);Hybride Eider à tête grise x E. à duvet;x00665
Prachteider-/Eiderente;King/Common Eider;Eider à tête grise ou E. à duvet;eider
Polysticta/Somateria, unbestimmt;eider sp.;eider sp.;eider1
Kragenente;Harlequin Duck;Arlequin plongeur;harduc
